filename,condition,true_count,detected_count,efficiency_pct
1.jpg,clean,1,2,0
2.jpg,clean,1,1,100.0
3.jpg,clean,4,2,50.0
4.jpg,close,7,1,14.29
5.jpg,close,5,3,60.0
6.jpg,clean,3,4,66.67
7.jpg,clean,3,4,66.67
8.jpg,close,3,2,66.67
9.jpg,close,10,7,70.0
10.jpg,close,10,5,50.0
11.jpg,close,10,5,50.0
12.jpg,close,10,5,50.0
13.jpg,close,10,5,50.0
15.jpg,close,10,5,50.0
16.jpg,close,10,6,60.0
17.jpg,close,10,3,30.0
18.jpg,close,10,3,30.0
19.jpg,clean,13,6,46.15
20.jpg,clean,13,7,53.85
21.jpg,clean,13,7,53.85
22.jpg,clean,13,7,53.85
23.jpg,clean,12,9,75.0
24.jpg,clean,12,8,66.67
25.jpg,clean,12,7,58.33
26.jpg,clean,12,6,50.0
27.jpg,close,10,8,80.0
28.jpg,close,10,9,90.0
29.jpg,close,10,9,90.0
30.jpg,close,10,9,90.0
31.jpg,close,10,8,80.0
32.jpg,close,10,9,90.0
33.jpg,close,10,7,70.0
34.jpg,clean,3,3,100.0
35.jpg,close,3,4,66.67
36.jpg,close,3,3,100.0
37.jpg,close,8,5,62.5
38.jpg,close,8,3,37.5
39.jpg,close,8,4,50.0
