filename,condition,true_count,detected_count,track_a_classification_acc,track_b_classification_acc
1.jpg,clean,1,2,100.0,100.0
2.jpg,clean,1,1,0.0,100.0
3.jpg,clean,4,2,50.0,25.0
4.jpg,close,7,1,14.3,14.3
5.jpg,close,5,3,40.0,40.0
6.jpg,clean,3,4,0.0,100.0
7.jpg,clean,3,4,33.3,100.0
8.jpg,close,3,2,0.0,66.7
9.jpg,close,10,7,70.0,60.0
10.jpg,close,10,5,40.0,40.0
11.jpg,close,10,5,40.0,50.0
12.jpg,close,10,5,40.0,30.0
13.jpg,close,10,5,50.0,40.0
15.jpg,close,10,5,50.0,20.0
16.jpg,close,10,6,60.0,40.0
17.jpg,close,10,3,30.0,30.0
18.jpg,close,10,3,30.0,30.0
19.jpg,clean,13,6,46.2,46.2
20.jpg,clean,13,7,53.8,53.8
21.jpg,clean,13,7,53.8,53.8
22.jpg,clean,13,7,46.2,53.8
23.jpg,clean,12,9,58.3,75.0
24.jpg,clean,12,8,58.3,66.7
25.jpg,clean,12,7,58.3,58.3
26.jpg,clean,12,6,50.0,50.0
27.jpg,close,10,8,60.0,70.0
28.jpg,close,10,9,80.0,80.0
29.jpg,close,10,9,70.0,80.0
30.jpg,close,10,9,80.0,80.0
31.jpg,close,10,8,80.0,70.0
32.jpg,close,10,9,70.0,70.0
33.jpg,close,10,7,70.0,70.0
34.jpg,clean,3,3,66.7,66.7
35.jpg,close,3,4,33.3,100.0
36.jpg,close,3,3,33.3,66.7
37.jpg,close,8,5,37.5,62.5
38.jpg,close,8,3,37.5,37.5
39.jpg,close,8,4,37.5,50.0
